"Statistic Label","Quarter","Economic Sector NACE Rev 2","Type of Employee","UNIT","VALUE"
"Average Hourly Irregular Earnings (Seasonally Adjusted)","2016Q2","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Hourly Irregular Earnings (Seasonally Adjusted)","2016Q2","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Hourly Irregular Earnings (Seasonally Adjusted)","2016Q3","Construction (F)","All employees","Euro","0.31"
"Average Hourly Irregular Earnings (Seasonally Adjusted)","2016Q3","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Hourly Irregular Earnings (Seasonally Adjusted)","2016Q3","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Hourly Irregular Earnings (Seasonally Adjusted)","2016Q3","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Hourly Irregular Earnings (Seasonally Adjusted)","2016Q4","Construction (F)","All employees","Euro","0.37"
"Average Hourly Irregular Earnings (Seasonally Adjusted)","2016Q4","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Hourly Irregular Earnings (Seasonally Adjusted)","2016Q4","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Hourly Irregular Earnings (Seasonally Adjusted)","2016Q4","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Hourly Irregular Earnings (Seasonally Adjusted)","2017Q1","Construction (F)","All employees","Euro","0.47"
"Average Hourly Irregular Earnings (Seasonally Adjusted)","2017Q1","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Hourly Irregular Earnings (Seasonally Adjusted)","2017Q1","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Hourly Irregular Earnings (Seasonally Adjusted)","2017Q1","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Hourly Irregular Earnings (Seasonally Adjusted)","2017Q2","Construction (F)","All employees","Euro","0.57"
"Average Hourly Irregular Earnings (Seasonally Adjusted)","2017Q2","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Hourly Irregular Earnings (Seasonally Adjusted)","2017Q2","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Hourly Irregular Earnings (Seasonally Adjusted)","2017Q2","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Hourly Irregular Earnings (Seasonally Adjusted)","2017Q3","Construction (F)","All employees","Euro","0.52"
"Average Hourly Irregular Earnings (Seasonally Adjusted)","2017Q3","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Hourly Irregular Earnings (Seasonally Adjusted)","2017Q3","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Hourly Irregular Earnings (Seasonally Adjusted)","2017Q3","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Hourly Irregular Earnings (Seasonally Adjusted)","2017Q4","Construction (F)","All employees","Euro","0.27"
"Average Hourly Irregular Earnings (Seasonally Adjusted)","2017Q4","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Hourly Irregular Earnings (Seasonally Adjusted)","2017Q4","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Hourly Irregular Earnings (Seasonally Adjusted)","2017Q4","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Hourly Irregular Earnings (Seasonally Adjusted)","2018Q1","Construction (F)","All employees","Euro","0.39"
"Average Hourly Irregular Earnings (Seasonally Adjusted)","2018Q1","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Hourly Irregular Earnings (Seasonally Adjusted)","2018Q1","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Hourly Irregular Earnings (Seasonally Adjusted)","2018Q1","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Hourly Irregular Earnings (Seasonally Adjusted)","2018Q2","Construction (F)","All employees","Euro","0.38"
"Average Hourly Irregular Earnings (Seasonally Adjusted)","2018Q2","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Hourly Irregular Earnings (Seasonally Adjusted)","2018Q2","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Hourly Irregular Earnings (Seasonally Adjusted)","2018Q2","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Hourly Irregular Earnings (Seasonally Adjusted)","2018Q3","Construction (F)","All employees","Euro","0.55"
"Average Hourly Irregular Earnings (Seasonally Adjusted)","2018Q3","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Hourly Irregular Earnings (Seasonally Adjusted)","2018Q3","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Hourly Irregular Earnings (Seasonally Adjusted)","2018Q3","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Hourly Irregular Earnings (Seasonally Adjusted)","2018Q4","Construction (F)","All employees","Euro","0.51"
"Average Hourly Irregular Earnings (Seasonally Adjusted)","2018Q4","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Hourly Irregular Earnings (Seasonally Adjusted)","2018Q4","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Hourly Irregular Earnings (Seasonally Adjusted)","2018Q4","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Hourly Irregular Earnings (Seasonally Adjusted)","2019Q1","Construction (F)","All employees","Euro","0.47"
"Average Hourly Irregular Earnings (Seasonally Adjusted)","2019Q1","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Hourly Irregular Earnings (Seasonally Adjusted)","2019Q1","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Hourly Irregular Earnings (Seasonally Adjusted)","2019Q1","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Hourly Irregular Earnings (Seasonally Adjusted)","2019Q2","Construction (F)","All employees","Euro","0.65"
"Average Hourly Irregular Earnings (Seasonally Adjusted)","2019Q2","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Hourly Irregular Earnings (Seasonally Adjusted)","2019Q2","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Hourly Irregular Earnings (Seasonally Adjusted)","2019Q2","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Hourly Irregular Earnings (Seasonally Adjusted)","2019Q3","Construction (F)","All employees","Euro","0.41"
"Average Hourly Irregular Earnings (Seasonally Adjusted)","2019Q3","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Hourly Irregular Earnings (Seasonally Adjusted)","2019Q3","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Hourly Irregular Earnings (Seasonally Adjusted)","2019Q3","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Hourly Irregular Earnings (Seasonally Adjusted)","2019Q4","Construction (F)","All employees","Euro","0.44"
"Average Hourly Irregular Earnings (Seasonally Adjusted)","2019Q4","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Hourly Irregular Earnings (Seasonally Adjusted)","2019Q4","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Hourly Irregular Earnings (Seasonally Adjusted)","2019Q4","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Hourly Irregular Earnings (Seasonally Adjusted)","2020Q1","Construction (F)","All employees","Euro","0.42"
"Average Hourly Irregular Earnings (Seasonally Adjusted)","2020Q1","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Hourly Irregular Earnings (Seasonally Adjusted)","2020Q1","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Hourly Irregular Earnings (Seasonally Adjusted)","2020Q1","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Hourly Irregular Earnings (Seasonally Adjusted)","2020Q2","Construction (F)","All employees","Euro","0.35"
"Average Hourly Irregular Earnings (Seasonally Adjusted)","2020Q2","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Hourly Irregular Earnings (Seasonally Adjusted)","2020Q2","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Hourly Irregular Earnings (Seasonally Adjusted)","2020Q2","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Hourly Irregular Earnings (Seasonally Adjusted)","2020Q3","Construction (F)","All employees","Euro","0.63"
"Average Hourly Irregular Earnings (Seasonally Adjusted)","2020Q3","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Hourly Irregular Earnings (Seasonally Adjusted)","2020Q3","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Hourly Irregular Earnings (Seasonally Adjusted)","2020Q3","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Hourly Irregular Earnings (Seasonally Adjusted)","2020Q4","Construction (F)","All employees","Euro","0.6"
"Average Hourly Irregular Earnings (Seasonally Adjusted)","2020Q4","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Hourly Irregular Earnings (Seasonally Adjusted)","2020Q4","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Hourly Irregular Earnings (Seasonally Adjusted)","2020Q4","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Hourly Irregular Earnings (Seasonally Adjusted)","2021Q1","Construction (F)","All employees","Euro","0.61"
"Average Hourly Irregular Earnings (Seasonally Adjusted)","2021Q1","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Hourly Irregular Earnings (Seasonally Adjusted)","2021Q1","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Hourly Irregular Earnings (Seasonally Adjusted)","2021Q1","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Hourly Irregular Earnings (Seasonally Adjusted)","2021Q2","Construction (F)","All employees","Euro","0.41"
"Average Hourly Irregular Earnings (Seasonally Adjusted)","2021Q2","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Hourly Irregular Earnings (Seasonally Adjusted)","2021Q2","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Hourly Irregular Earnings (Seasonally Adjusted)","2021Q2","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Hourly Irregular Earnings (Seasonally Adjusted)","2021Q3","Construction (F)","All employees","Euro","0.49"
"Average Hourly Irregular Earnings (Seasonally Adjusted)","2021Q3","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Hourly Irregular Earnings (Seasonally Adjusted)","2021Q3","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Hourly Irregular Earnings (Seasonally Adjusted)","2021Q3","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Hourly Irregular Earnings (Seasonally Adjusted)","2021Q4","Construction (F)","All employees","Euro","0.6"
"Average Hourly Irregular Earnings (Seasonally Adjusted)","2021Q4","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Hourly Irregular Earnings (Seasonally Adjusted)","2021Q4","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Hourly Irregular Earnings (Seasonally Adjusted)","2021Q4","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Hourly Irregular Earnings (Seasonally Adjusted)","2022Q1","Construction (F)","All employees","Euro","0.46"
"Average Hourly Irregular Earnings (Seasonally Adjusted)","2022Q1","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Hourly Irregular Earnings (Seasonally Adjusted)","2022Q1","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Hourly Irregular Earnings (Seasonally Adjusted)","2022Q1","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Hourly Irregular Earnings (Seasonally Adjusted)","2022Q2","Construction (F)","All employees","Euro","0.54"
"Average Hourly Irregular Earnings (Seasonally Adjusted)","2022Q2","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Hourly Irregular Earnings (Seasonally Adjusted)","2022Q2","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Hourly Irregular Earnings (Seasonally Adjusted)","2022Q2","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Hourly Irregular Earnings (Seasonally Adjusted)","2022Q3","Construction (F)","All employees","Euro","0.33"
"Average Hourly Irregular Earnings (Seasonally Adjusted)","2022Q3","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Hourly Irregular Earnings (Seasonally Adjusted)","2022Q3","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Hourly Irregular Earnings (Seasonally Adjusted)","2022Q3","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Hourly Irregular Earnings (Seasonally Adjusted)","2022Q4","Construction (F)","All employees","Euro","0.38"
"Average Hourly Irregular Earnings (Seasonally Adjusted)","2022Q4","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Hourly Irregular Earnings (Seasonally Adjusted)","2022Q4","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Hourly Irregular Earnings (Seasonally Adjusted)","2022Q4","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2008Q1","Construction (F)","All employees","Euro","3.25"
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2008Q1","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2008Q1","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2008Q1","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2008Q2","Construction (F)","All employees","Euro","3.47"
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2008Q2","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2008Q2","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2008Q2","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2008Q3","Construction (F)","All employees","Euro","3.78"
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2008Q3","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2008Q3","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2008Q3","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2008Q4","Construction (F)","All employees","Euro","4.17"
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2008Q4","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2008Q4","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2008Q4","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2009Q1","Construction (F)","All employees","Euro","4.21"
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2009Q1","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2009Q1","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2009Q1","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2009Q2","Construction (F)","All employees","Euro","3.99"
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2009Q2","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2009Q2","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2009Q2","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2009Q3","Construction (F)","All employees","Euro","3.74"
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2009Q3","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2009Q3","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2009Q3","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2009Q4","Construction (F)","All employees","Euro","3.37"
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2009Q4","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2009Q4","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2009Q4","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2010Q1","Construction (F)","All employees","Euro","3.52"
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2010Q1","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2010Q1","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2010Q1","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2010Q2","Construction (F)","All employees","Euro","3.13"
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2010Q2","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2010Q2","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2010Q2","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2010Q3","Construction (F)","All employees","Euro","2.55"
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2010Q3","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2010Q3","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2010Q3","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2010Q4","Construction (F)","All employees","Euro","2.86"
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2010Q4","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2010Q4","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2010Q4","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2011Q1","Construction (F)","All employees","Euro","2.45"
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2011Q1","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2011Q1","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2011Q1","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2011Q2","Construction (F)","All employees","Euro","2.7"
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2011Q2","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2011Q2","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2011Q2","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2011Q3","Construction (F)","All employees","Euro","2.67"
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2011Q3","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2011Q3","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2011Q3","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2011Q4","Construction (F)","All employees","Euro","2.38"
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2011Q4","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2011Q4","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2011Q4","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2012Q1","Construction (F)","All employees","Euro","2.28"
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2012Q1","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2012Q1","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2012Q1","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2012Q2","Construction (F)","All employees","Euro","2.19"
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2012Q2","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2012Q2","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2012Q2","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2012Q3","Construction (F)","All employees","Euro","2.94"
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2012Q3","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2012Q3","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2012Q3","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2012Q4","Construction (F)","All employees","Euro","2.44"
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2012Q4","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2012Q4","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2012Q4","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2013Q1","Construction (F)","All employees","Euro","2.34"
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2013Q1","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2013Q1","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2013Q1","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2013Q2","Construction (F)","All employees","Euro","2.39"
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2013Q2","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2013Q2","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2013Q2","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2013Q3","Construction (F)","All employees","Euro","2.54"
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2013Q3","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2013Q3","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2013Q3","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2013Q4","Construction (F)","All employees","Euro","2.5"
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2013Q4","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2013Q4","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2013Q4","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2014Q1","Construction (F)","All employees","Euro","2.47"
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2014Q1","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2014Q1","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2014Q1","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2014Q2","Construction (F)","All employees","Euro","2.6"
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2014Q2","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2014Q2","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2014Q2","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2014Q3","Construction (F)","All employees","Euro","2.35"
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2014Q3","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2014Q3","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2014Q3","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2014Q4","Construction (F)","All employees","Euro","2.67"
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2014Q4","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2014Q4","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2014Q4","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2015Q1","Construction (F)","All employees","Euro","2.43"
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2015Q1","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2015Q1","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2015Q1","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2015Q2","Construction (F)","All employees","Euro","2.39"
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2015Q2","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2015Q2","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2015Q2","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2015Q3","Construction (F)","All employees","Euro","2.46"
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2015Q3","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2015Q3","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2015Q3","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2015Q4","Construction (F)","All employees","Euro","2.47"
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2015Q4","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2015Q4","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2015Q4","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2016Q1","Construction (F)","All employees","Euro","2.59"
"Average Hourly Other Labour Costs (Seasonally Adjusted)","2016Q1","Construction (F)","Managers, professionals and associated professionals","Euro",""
